epoch,train_loss,val_loss,accuracy,recall,precision,f1,auroc,lr
1,0.30356251163349307,0.2675923096085978,0.8959044368600683,0.927570093457944,0.9297423887587822,0.928654970760234,0.9471045782562404,0.0001
2,0.23319913485078705,0.5332812215281021,0.8139931740614335,0.7546728971962616,0.9877675840978594,0.8556291390728477,0.9691233881462202,0.0001
3,0.2062098547294545,0.958653502115414,0.6723549488054608,0.5537383177570093,0.9957983193277311,0.7117117117117117,0.959038211285934,0.0001
4,0.18281709819230435,0.17631293648262683,0.9334470989761092,0.9415887850467289,0.9664268585131894,0.9538461538461539,0.9784100319413227,0.0001
5,0.1692546481166407,0.13387775140792232,0.9368600682593856,0.9485981308411215,0.9643705463182898,0.9564193168433451,0.9881255175677275,0.0001
6,0.1717205597588794,0.37188788922980376,0.8498293515358362,0.7990654205607477,0.9941860465116279,0.8860103626943006,0.9810422335265586,0.0001
7,0.15185370214162577,0.13728464757165404,0.9453924914675768,0.9672897196261683,0.9583333333333334,0.9627906976744186,0.9851827753460312,0.0001
8,0.14969408051464722,0.12773717595296102,0.9539249146757679,0.985981308411215,0.9525959367945824,0.9690011481056258,0.987075594463504,0.0001
9,0.13609934978689728,0.15362744488190772,0.9453924914675768,0.9579439252336449,0.9669811320754716,0.9624413145539906,0.9830385661895185,0.0001
10,0.1231431213392853,0.19294962907407065,0.9266211604095563,0.9088785046728972,0.989821882951654,0.9476248477466505,0.9873121968531882,0.0001
11,0.11462249922590771,0.17603850084652573,0.9351535836177475,0.9299065420560748,0.9802955665024631,0.9544364508393285,0.9879037028273986,0.0001
12,0.11561949462665644,0.13688157425252498,0.9453924914675768,0.9742990654205608,0.952054794520548,0.9630484988452656,0.986720690878978,0.0001
13,0.12092795837304716,0.1416692089467427,0.9402730375426621,0.9415887850467289,0.9757869249394673,0.9583828775267539,0.9879037028273985,0.0001
14,0.10863787377369293,0.13690412314068334,0.9436860068259386,0.9672897196261683,0.9561200923787528,0.9616724738675958,0.9845173311250444,0.0001
15,0.10885434081725438,0.1127220450458673,0.9556313993174061,0.9626168224299065,0.976303317535545,0.9694117647058823,0.9903436649710161,0.0001
16,0.1092251740605988,0.2030859720788311,0.9283276450511946,0.9182242990654206,0.9825,0.9492753623188406,0.9880811546196617,0.0001
17,0.08602101658331747,0.1271099743557261,0.9505119453924915,0.9672897196261683,0.965034965034965,0.9661610268378062,0.9872086833077014,0.0001
18,0.09198266522756862,0.08651789571492338,0.9658703071672355,0.9836448598130841,0.9700460829493087,0.9767981438515081,0.9939518514136993,0.0001
19,0.08710449927325029,0.08900541165977106,0.9590443686006825,0.9836448598130841,0.9611872146118722,0.9722863741339491,0.9935230095823968,0.0001
20,0.07949535766923459,0.11620067650573042,0.9573378839590444,0.9836448598130841,0.958997722095672,0.9711649365628604,0.9918372175558973,0.0001
21,0.0738501338897405,0.08311233412849466,0.9675767918088737,0.9813084112149533,0.974477958236659,0.9778812572759022,0.9946616585827517,0.0001
22,0.07303772463338382,0.10403889086758622,0.9658703071672355,0.9929906542056075,0.9615384615384616,0.9770114942528736,0.9940257896604756,0.0001
23,0.0798769327060317,0.09420143945123555,0.9590443686006825,0.9579439252336449,0.9855769230769231,0.9715639810426541,0.9949130486217911,0.0001
24,0.06916979803917667,0.08376257727399418,0.9658703071672355,0.9813084112149533,0.9722222222222222,0.9767441860465116,0.9947060215308174,0.0001
25,0.053977591134321476,0.2669484776416126,0.9197952218430034,0.9042056074766355,0.9847328244274809,0.9427527405602923,0.984502543475689,0.0001
26,0.0698975090217402,0.07254459599347678,0.9675767918088737,0.9742990654205608,0.9811764705882353,0.977725674091442,0.996051697622146,0.0001
27,0.05933237486465434,0.08977219252529278,0.9658703071672355,0.9836448598130841,0.9700460829493087,0.9767981438515081,0.9942623920501596,0.0001
28,0.052231426273626105,0.2295011490259205,0.9300341296928327,0.9135514018691588,0.9898734177215189,0.9501822600243013,0.9914231633739501,0.0001
29,0.061200080288337094,0.1021918500487537,0.9539249146757679,0.969626168224299,0.9673659673659674,0.9684947491248541,0.9925913876730155,0.0001
30,0.05820053340238857,0.09517130459922624,0.9641638225255973,0.9719626168224299,0.9788235294117648,0.9753810082063306,0.9932568318940022,0.0001
31,0.04011444458984519,0.07263056429877,0.9675767918088737,0.9836448598130841,0.9722863741339491,0.9779326364692218,0.9960812729208565,0.0001
32,0.05519753415376126,0.08202954635632768,0.9692832764505119,0.9883177570093458,0.9701834862385321,0.9791666666666666,0.9952679522063173,0.0001
33,0.03682541933123827,0.06193195354891146,0.9761092150170648,0.9789719626168224,0.9882075471698113,0.9835680751173709,0.9973234354666982,0.0001
34,0.038711301834771075,0.09792710699573312,0.9590443686006825,0.969626168224299,0.9741784037558685,0.9718969555035128,0.993818762569502,0.0001
35,0.032916324585358064,0.09006908033583504,0.962457337883959,0.9649532710280374,0.9833333333333333,0.9740566037735849,0.9956820063882645,0.0001
36,0.042730597105802494,0.1233344784391084,0.962457337883959,0.9626168224299065,0.9856459330143541,0.9739952718676123,0.9938335502188572,0.0001
37,0.034015911718771615,0.14168911638018855,0.947098976109215,0.9392523364485982,0.9877149877149877,0.962874251497006,0.992798414763989,0.0001
38,0.037264853928247695,0.09750094541857883,0.9641638225255973,0.9742990654205608,0.9765807962529274,0.9754385964912281,0.9953418904530935,0.0001
39,0.04120766995975749,0.04260512562858024,0.9829351535836177,0.985981308411215,0.9906103286384976,0.9882903981264637,0.9988909262983556,0.0001
40,0.022610275119675893,0.09816498774876214,0.9692832764505119,0.9766355140186916,0.9812206572769953,0.9789227166276346,0.9941440908553176,0.0001
41,0.026968158464468213,0.08189028212538389,0.9795221843003413,0.9836448598130841,0.9882629107981221,0.9859484777517564,0.9947799597775937,0.0001
42,0.026998075334089596,0.063565871843976,0.9744027303754266,0.9906542056074766,0.9747126436781609,0.9826187717265353,0.9967467171418432,0.0001
43,0.033148252149530065,0.09639328613252707,0.9658703071672355,0.969626168224299,0.9834123222748815,0.9764705882352941,0.9944842067904887,0.0001
44,0.04992707846224957,0.07720188687753358,0.9726962457337884,0.9719626168224299,0.9904761904761905,0.9811320754716981,0.9966284159470011,0.0001
45,0.017623602263368968,0.08895107648391419,0.9658703071672355,0.9719626168224299,0.9811320754716981,0.9765258215962441,0.9956672187389093,0.0001
46,0.02860987467101173,0.0778366503230838,0.9658703071672355,0.9789719626168224,0.9744186046511628,0.9766899766899767,0.9965249024015143,0.0001
47,0.02535243187826222,0.10846574117861443,0.9658703071672355,0.9836448598130841,0.9700460829493087,0.9767981438515081,0.9949278362711462,0.0001
48,0.011021766548009588,0.10269894586833751,0.9641638225255973,0.9672897196261683,0.9833729216152018,0.9752650176678446,0.9955784928427778,0.0001
49,0.024338008464657723,0.08339056646397318,0.9675767918088737,0.9672897196261683,0.9880668257756563,0.9775678866587958,0.9970128948302377,0.0001
50,0.03692540665332906,0.11091055336556122,0.962457337883959,0.9929906542056075,0.9572072072072072,0.9747706422018348,0.9954158286998698,0.0001
51,0.018547127012204758,0.05782306360266785,0.9795221843003413,0.9883177570093458,0.9837209302325581,0.986013986013986,0.997190346622501,1e-05
52,0.007468688816514525,0.0584448196014561,0.9795221843003413,0.9929906542056075,0.9792626728110599,0.9860788863109049,0.997367798414764,1e-05
53,0.004963273504169548,0.060303934241200834,0.9778156996587031,0.9906542056074766,0.9792147806004619,0.9849012775842044,0.9972051342718562,1e-05
54,0.004622759221934489,0.05639016433478311,0.9761092150170648,0.9813084112149533,0.9859154929577465,0.9836065573770492,0.9976339761031586,1e-05
55,0.0042737813617848815,0.05525875306628055,0.9778156996587031,0.9883177570093458,0.9814385150812065,0.9848661233993015,0.9976487637525139,1e-05
56,0.003316449301342586,0.05580390430202171,0.9761092150170648,0.9836448598130841,0.9836448598130841,0.9836448598130841,0.9975304625576719,1e-05
57,0.0025082289489892005,0.05814613178157829,0.9778156996587031,0.985981308411215,0.9836829836829837,0.9848308051341891,0.9976339761031587,1e-05
58,0.0039321463413679305,0.04889650445554343,0.9829351535836177,0.9929906542056075,0.9837962962962963,0.9883720930232558,0.9981811191293032,1e-05
59,0.003117415852135188,0.05281428325429959,0.9812286689419796,0.9906542056074766,0.9837587006960556,0.9871944121071012,0.9979740920383295,1e-05
60,0.001956893443450074,0.05317607045914849,0.9795221843003413,0.9906542056074766,0.9814814814814815,0.986046511627907,0.9979297290902638,1e-05
61,0.0018962680660075362,0.052615399046175945,0.9761092150170648,0.9836448598130841,0.9836448598130841,0.9836448598130841,0.9980628179344612,1e-05
