epoch,train_loss,val_loss,accuracy,recall,precision,f1,auroc
1,0.2860799324064747,0.28156486122399316,0.8786324786324786,0.9648711943793911,0.8803418803418803,0.9206703910614525,0.9461210091008804
2,0.19504072914171106,0.2291881356961452,0.9111111111111111,0.9063231850117096,0.9699248120300752,0.937046004842615,0.9727862923546675
3,0.17780312045461033,0.12738164571296964,0.9435897435897436,0.9414519906323185,0.9804878048780488,0.9605734767025089,0.9901876500755936
4,0.14684893009604627,0.17110353384135116,0.9367521367521368,0.9250585480093677,0.9875,0.9552599758162031,0.9879791302285597
5,0.15444907195932886,0.11462489848590304,0.9555555555555556,0.9765807962529274,0.9630484988452656,0.9697674418604652,0.9907212521862865
6,0.12830456123360193,0.1069484431646828,0.958974358974359,0.9718969555035128,0.9718969555035128,0.9718969555035128,0.9913289657012422
7,0.13126529454294555,0.13475136975797578,0.9504273504273504,0.9789227166276346,0.954337899543379,0.9664739884393063,0.9889129339222719
8,0.12936959436820758,0.15569812105252193,0.9401709401709402,0.927400468384075,0.99,0.9576783555018138,0.9906767853437286
9,0.11090110492309443,0.15699759137808766,0.9435897435897436,0.9672131147540983,0.9560185185185185,0.9615832363213038,0.9836510242196068
10,0.11178490826069062,0.11828738901222872,0.947008547008547,0.9461358313817331,0.9805825242718447,0.9630512514898689,0.9910325200841905
11,0.09965043567912832,0.13029195168095395,0.9487179487179487,0.9508196721311475,0.9783132530120482,0.9643705463182898,0.9898615598968369
12,0.0971751842318668,0.44426511928407303,0.8769230769230769,0.8337236533957846,0.9971988795518207,0.9081632653061225,0.9903803397266773
13,0.10126448764990041,0.14469876516069102,0.9435897435897436,0.9344262295081968,0.9876237623762376,0.9602888086642599,0.9905137402543502
14,0.09793234379692588,0.1521230552520635,0.9504273504273504,0.9578454332552693,0.9738095238095238,0.9657615112160567,0.985963300032609
15,0.09218528623900579,0.17402378292674692,0.9452991452991453,0.936768149882904,0.9876543209876543,0.9615384615384616,0.9898170930542792
16,0.08797055469190672,0.1554471275012972,0.947008547008547,0.9484777517564403,0.9782608695652174,0.9631391200951248,0.989787448492574
17,0.08974032065259929,0.1533292528699574,0.9435897435897436,0.9742388758782201,0.9497716894977168,0.9618497109826589,0.986556191266712
