epoch,train_loss,val_loss,accuracy,recall,precision,f1,auroc,lr
1,0.32195479040416664,0.2609380528890232,0.8924914675767918,0.9462616822429907,0.9101123595505618,0.9278350515463918,0.9602803738317758,0.001
2,0.21081154406019809,0.2313643289609167,0.9078498293515358,0.9415887850467289,0.9328703703703703,0.9372093023255814,0.9650715722228794,0.001
3,0.19078952880825983,0.2108827438523338,0.9146757679180887,0.9462616822429907,0.9375,0.9418604651162791,0.9707056666272329,0.001
4,0.1782734287373028,0.2000812132915946,0.9146757679180887,0.9462616822429907,0.9375,0.9418604651162791,0.9730421152253638,0.001
5,0.17415180687818846,0.20031239361893194,0.9180887372013652,0.9532710280373832,0.9357798165137615,0.9444444444444444,0.9725689104459956,0.001
6,0.16518383454706403,0.19075429157287188,0.9232081911262798,0.9509345794392523,0.9443155452436195,0.9476135040745053,0.9745800307583106,0.001
7,0.15688439945345958,0.18704208614679735,0.9283276450511946,0.9672897196261683,0.9366515837104072,0.9517241379310345,0.9750384478883236,0.001
8,0.15227213937130674,0.19476525200715245,0.9197952218430034,0.9322429906542056,0.9568345323741008,0.9443786982248521,0.9752158996805868,0.001
9,0.15042673050402883,0.1799066766028518,0.9266211604095563,0.9579439252336449,0.9425287356321839,0.9501738122827347,0.9762362474860996,0.001
10,0.14583925077298784,0.17599659227470488,0.9283276450511946,0.955607476635514,0.9467592592592593,0.9511627906976744,0.9774488347332307,0.001
