epoch,phase,train_loss,val_loss,accuracy,recall,precision,f1,auroc,lr
1,fc_only,0.32195479040416664,0.2609380528890232,0.8924914675767918,0.9462616822429907,0.9101123595505618,0.9278350515463918,0.9602803738317758,0.001
2,fc_only,0.21081154406019809,0.2313643289609167,0.9078498293515358,0.9415887850467289,0.9328703703703703,0.9372093023255814,0.9650715722228794,0.001
3,fc_only,0.19078952880825983,0.2108827438523338,0.9146757679180887,0.9462616822429907,0.9375,0.9418604651162791,0.9707056666272329,0.001
4,fc_only,0.1782734287373028,0.2000812132915946,0.9146757679180887,0.9462616822429907,0.9375,0.9418604651162791,0.9730421152253638,0.001
5,fc_only,0.17415180687818846,0.20031239361893194,0.9180887372013652,0.9532710280373832,0.9357798165137615,0.9444444444444444,0.9725689104459956,0.001
6,fc_only,0.16518383454706403,0.19075429157287188,0.9232081911262798,0.9509345794392523,0.9443155452436195,0.9476135040745053,0.9745800307583106,0.001
7,fc_only,0.15688439945345958,0.18704208614679735,0.9283276450511946,0.9672897196261683,0.9366515837104072,0.9517241379310345,0.9750384478883236,0.001
8,fc_only,0.15227213937130674,0.19476525200715245,0.9197952218430034,0.9322429906542056,0.9568345323741008,0.9443786982248521,0.9752158996805868,0.001
9,fc_only,0.15042673050402883,0.1799066766028518,0.9266211604095563,0.9579439252336449,0.9425287356321839,0.9501738122827347,0.9762362474860996,0.001
10,fc_only,0.14583925077298784,0.17599659227470488,0.9283276450511946,0.955607476635514,0.9467592592592593,0.9511627906976744,0.9774488347332307,0.001
11,fine_tuning,0.11867881018547524,0.10382784391457768,0.9573378839590444,0.9579439252336449,0.9832134292565947,0.9704142011834319,0.9930350171536733,0.0001
12,fine_tuning,0.07785377660678758,0.07253595815459743,0.9744027303754266,0.9883177570093458,0.976905311778291,0.9825783972125436,0.9967615047911984,0.0001
13,fine_tuning,0.05435458425333824,0.06912626037151638,0.9726962457337884,0.969626168224299,0.992822966507177,0.9810874704491725,0.9968058677392642,0.0001
14,fine_tuning,0.03480615592295229,0.04948279184031812,0.984641638225256,0.9976635514018691,0.9816091954022989,0.9895712630359212,0.998743049804803,0.0001
15,fine_tuning,0.03267210093585347,0.048812107085298,0.9761092150170648,0.9883177570093458,0.9791666666666666,0.9837209302325581,0.9981071808825269,0.0001
16,fine_tuning,0.019768679641729202,0.0763355310956245,0.9709897610921502,0.969626168224299,0.9904534606205251,0.9799291617473436,0.9973825860641192,0.0001
17,fine_tuning,0.018883082729662482,0.11344413745929026,0.9539249146757679,0.9439252336448598,0.9926289926289926,0.9676646706586827,0.9972347095705667,0.0001
18,fine_tuning,0.017607170188848015,0.13270063153483966,0.947098976109215,0.927570093457944,1.0,0.9624242424242424,0.9985360227138294,0.0001
19,fine_tuning,0.014035117970599597,0.12953215843041144,0.9590443686006825,0.9509345794392523,0.9926829268292683,0.9713603818615751,0.9972938601679877,0.0001
20,fine_tuning,0.010887327759711235,0.0861967125319386,0.9744027303754266,0.9813084112149533,0.9836065573770492,0.9824561403508771,0.9966579912457116,0.0001
21,fine_tuning,0.012422524728367593,0.08356118382876715,0.9778156996587031,0.9906542056074766,0.9792147806004619,0.9849012775842044,0.9965396900508695,0.0001
22,fine_tuning,0.013981472578801987,0.09339607073234095,0.9692832764505119,0.9649532710280374,0.9927884615384616,0.9786729857819905,0.9981515438305927,0.0001
23,fine_tuning,0.014891028864280162,0.06359183698937515,0.9795221843003413,0.9929906542056075,0.9792626728110599,0.9860788863109049,0.9979740920383295,0.0001
24,fine_tuning,0.009663591202562388,0.04583521152897373,0.984641638225256,0.9906542056074766,0.9883449883449883,0.9894982497082847,0.9985655980125399,0.0001
25,fine_tuning,0.012838610556927239,0.09430647587578278,0.962457337883959,0.955607476635514,0.9927184466019418,0.9738095238095238,0.9974713119602507,0.0001
26,fine_tuning,0.012187781010753511,0.046978102745241945,0.984641638225256,0.9883177570093458,0.990632318501171,0.9894736842105263,0.9983585709215663,0.0001
27,fine_tuning,0.0208516490670896,0.12045733091233095,0.962457337883959,0.9579439252336449,0.9903381642512077,0.9738717339667459,0.9958298828818171,0.0001
28,fine_tuning,0.0072850121335946835,0.04277516233908286,0.9795221843003413,0.9789719626168224,0.9928909952606635,0.9858823529411764,0.9990092274931976,0.0001
29,fine_tuning,0.005161040816590042,0.09356487766109448,0.9675767918088737,0.9649532710280374,0.9904076738609112,0.9775147928994082,0.9983733585709216,0.0001
30,fine_tuning,0.006290904172109946,0.049614603436452465,0.9778156996587031,0.9836448598130841,0.9859484777517564,0.9847953216374269,0.9987282621554479,0.0001
31,fine_tuning,0.006079311374077873,0.1092554904284324,0.9692832764505119,0.9672897196261683,0.9904306220095693,0.9787234042553191,0.9981959067786585,0.0001
32,fine_tuning,0.005463301290704618,0.08605941753522109,0.9692832764505119,0.9836448598130841,0.9745370370370371,0.9790697674418605,0.9973825860641192,0.0001
33,fine_tuning,0.005681294423462232,0.05203058288683765,0.9795221843003413,0.9766355140186916,0.9952380952380953,0.9858490566037735,0.9989205015970661,0.0001
34,fine_tuning,0.00998343543390366,0.0722217496183092,0.9795221843003413,0.9883177570093458,0.9837209302325581,0.986013986013986,0.9978557908434876,0.0001
35,fine_tuning,0.008146068640877798,0.13226020549992262,0.9692832764505119,0.9976635514018691,0.9617117117117117,0.9793577981651376,0.9961256358689223,0.0001
36,fine_tuning,0.005638329519244677,0.06101627557853953,0.9795221843003413,0.9976635514018691,0.9748858447488584,0.9861431870669746,0.9984620844670532,0.0001
37,fine_tuning,0.008820878423080006,0.07229347703721153,0.9761092150170648,0.9766355140186916,0.990521327014218,0.9835294117647059,0.9980480302851059,0.0001
38,fine_tuning,0.0034737827937105486,0.10247368504338081,0.9692832764505119,1.0,0.9596412556053812,0.9794050343249427,0.9985951733112504,0.0001
39,fine_tuning,0.01724864853231672,0.11127187146225584,0.9607508532423208,0.9579439252336449,0.9879518072289156,0.9727164887307236,0.9967171418431326,0.0001
40,fine_tuning,0.007236884096212119,0.0881384324960388,0.9726962457337884,0.9672897196261683,0.9951923076923077,0.981042654028436,0.997944516739619,0.0001
41,fine_tuning,0.0034033622230570464,0.052466694668893525,0.984641638225256,0.9929906542056075,0.9860788863109049,0.989522700814901,0.9987874127528689,0.0001
42,fine_tuning,0.0036464948223458057,0.0984186302153526,0.9761092150170648,0.969626168224299,0.9975961538461539,0.9834123222748815,0.998743049804803,0.0001
43,fine_tuning,0.005378410306159835,0.10279232447610241,0.9778156996587031,0.9976635514018691,0.9726651480637813,0.9850057670126874,0.9972938601679877,0.0001
44,fine_tuning,0.009828117102228504,0.04963688585112561,0.9829351535836177,0.985981308411215,0.9906103286384976,0.9882903981264637,0.9985064474151188,0.0001
