epoch,phase,train_loss,val_loss,accuracy,recall,precision,f1,auroc,lr
1,scratch,0.31669117104386185,0.2547525214380982,0.8976109215017065,0.9766355140186916,0.8931623931623932,0.9330357142857143,0.9608570921566307,5e-05
2,scratch,0.2362486621719665,0.5303808435441691,0.7952218430034129,0.7313084112149533,0.9842767295597484,0.839142091152815,0.9566573997397375,5e-05
3,scratch,0.21652705569128824,0.3604025293535747,0.8668941979522184,0.8434579439252337,0.9704301075268817,0.9025,0.9506388264521471,5e-05
4,scratch,0.19654589562488356,0.2074305522319171,0.9215017064846417,0.9813084112149533,0.9170305676855895,0.9480812641083521,0.9728646634331006,5e-05
5,scratch,0.19121596013552913,0.19232468426532712,0.9180887372013652,0.9369158878504673,0.9502369668246445,0.9435294117647058,0.9717851650301668,5e-05
6,scratch,0.18620863138204147,0.19718288007246348,0.9232081911262798,0.9415887850467289,0.9527186761229315,0.9471210340775558,0.9728203004850349,5e-05
7,scratch,0.16477544150171272,0.20679432387644928,0.9146757679180887,0.9065420560747663,0.9748743718592965,0.9394673123486683,0.9788388737726252,5e-05
8,scratch,0.17438860154884886,0.19007504037215847,0.9112627986348123,0.8995327102803738,0.9771573604060914,0.9367396593673966,0.9841624275405182,5e-05
9,scratch,0.16535349480368763,0.15678905576798086,0.9351535836177475,0.9742990654205608,0.9391891891891891,0.9564220183486238,0.9817816159943216,5e-05
10,scratch,0.1531273528844449,0.18536879160400135,0.9215017064846417,0.9158878504672897,0.9751243781094527,0.944578313253012,0.9849165976576364,5e-05
11,scratch,0.15559916817968875,0.26052612605355296,0.909556313993174,0.8901869158878505,0.9844961240310077,0.9349693251533743,0.9807612681888087,5e-05
12,scratch,0.152594229510256,0.275226823705862,0.9044368600682594,0.8901869158878505,0.9769230769230769,0.9315403422982885,0.9745504554596002,5e-05
13,scratch,0.1557134658505426,0.16910371596292423,0.9351535836177475,0.9369158878504673,0.9733009708737864,0.9547619047619048,0.9843546669821365,5e-05
14,scratch,0.14459615071597617,0.15875272075852234,0.931740614334471,0.9766355140186916,0.9330357142857143,0.954337899543379,0.9849757482550573,5e-05
15,scratch,0.13760217272515077,0.12167624517982832,0.9522184300341296,0.9719626168224299,0.9629629629629629,0.9674418604651163,0.9890275641783983,5e-05
16,scratch,0.13820064720004976,0.13437490026647728,0.9453924914675768,0.9462616822429907,0.9782608695652174,0.9619952494061758,0.9895894948538981,5e-05
17,scratch,0.1229938883922937,0.12048079839465764,0.9556313993174061,0.9672897196261683,0.971830985915493,0.9695550351288056,0.989012776529043,5e-05
18,scratch,0.11594452884566774,0.20910673644457253,0.9283276450511946,0.9135514018691588,0.9873737373737373,0.9490291262135923,0.9873861350999645,5e-05
19,scratch,0.12733993776314387,0.1137122441553622,0.9505119453924915,0.9626168224299065,0.9694117647058823,0.9660023446658851,0.9902993020229505,5e-05
20,scratch,0.11858020432732433,0.13195309102052105,0.9488054607508533,0.9719626168224299,0.9585253456221198,0.9651972157772621,0.9872086833077014,5e-05
21,scratch,0.11175238318187777,0.11559205066488973,0.9522184300341296,0.9626168224299065,0.9716981132075472,0.9671361502347418,0.9905654797113452,5e-05
22,scratch,0.1074078472619073,0.13502827763824435,0.9505119453924915,0.9579439252336449,0.9738717339667459,0.9658421672555948,0.9891015024251745,5e-05
23,scratch,0.10729813954715771,0.12264068571551871,0.9522184300341296,0.9485981308411215,0.9854368932038835,0.9666666666666667,0.9907577191529634,5e-05
24,scratch,0.09602000489417403,0.1105509430500631,0.9522184300341296,0.9626168224299065,0.9716981132075472,0.9671361502347418,0.9908908079971608,5e-05
25,scratch,0.09389492869377136,0.20621519106036568,0.9249146757679181,0.9135514018691588,0.9824120603015075,0.9467312348668281,0.9854933159824915,5e-05
26,scratch,0.09681774557502121,0.08865466440706785,0.9641638225255973,0.985981308411215,0.965675057208238,0.9757225433526011,0.9940110020111204,5e-05
27,scratch,0.08217884988995645,0.10176688905824421,0.962457337883959,0.9766355140186916,0.9720930232558139,0.9743589743589743,0.9917189163610551,5e-05
28,scratch,0.0894642707491715,0.11421139951820768,0.9522184300341296,0.9742990654205608,0.9608294930875576,0.9675174013921114,0.9914823139713711,5e-05
29,scratch,0.08027112669447464,0.1175172874011074,0.947098976109215,0.9602803738317757,0.9670588235294117,0.9636576787807737,0.9912013486336211,5e-05
30,scratch,0.08145873229807508,0.09462560977589708,0.9590443686006825,0.9766355140186916,0.9675925925925926,0.9720930232558139,0.9936413107772388,5e-05
31,scratch,0.07495616031866315,0.12873304397846752,0.9556313993174061,0.955607476635514,0.9831730769230769,0.9691943127962085,0.990565479711345,5e-05
32,scratch,0.07686030472124537,0.11144028687964865,0.9488054607508533,0.9742990654205608,0.9564220183486238,0.9652777777777778,0.9919407311013841,5e-05
33,scratch,0.06905532631797225,0.13504293507899542,0.9488054607508533,0.9509345794392523,0.9783653846153846,0.9644549763033176,0.9908168697503845,5e-05
34,scratch,0.07586951735035781,0.11497986593852678,0.9556313993174061,0.9719626168224299,0.9674418604651163,0.9696969696969697,0.9895747072045428,5e-05
35,scratch,0.06512362355037085,0.14689225536284797,0.9488054607508533,0.9509345794392523,0.9783653846153846,0.9644549763033176,0.9899591860877796,5e-05
36,scratch,0.07655375443960052,0.09048476404571626,0.9692832764505119,0.9836448598130841,0.9745370370370371,0.9790697674418605,0.9938335502188572,5e-05
37,scratch,0.06049276858625455,0.10217770578422339,0.9539249146757679,0.9649532710280374,0.971764705882353,0.9683470105509965,0.9931533183485153,5e-05
38,scratch,0.048440750022629556,0.08651227465554208,0.962457337883959,0.9719626168224299,0.9765258215962441,0.9742388758782201,0.9945433573879097,5e-06
39,scratch,0.03676481151008496,0.0851523139618922,0.9641638225255973,0.9672897196261683,0.9833729216152018,0.9752650176678446,0.9950609251153437,5e-06
40,scratch,0.037020574615716326,0.08641913023526199,0.9641638225255973,0.9719626168224299,0.9788235294117648,0.9753810082063306,0.994957411569857,5e-06
